content_length,hashtag_count,emoji_count,has_image,post_time_hour,post_time_day,mentions_count,urls_count,is_product_post,is_promotional,is_engagement_post,has_price,favorite_count,retweet_count,reply_count,engagement_rate
187,1,0,1,13,5,0,3,1,0,0,0,259,51,9,4.3216434736143454e-05
224,1,0,1,13,4,0,3,1,0,0,0,294,42,8,4.684103893982e-05
181,1,0,1,8,3,0,3,1,0,0,0,390,81,10,6.566109922814054e-05
299,3,0,1,8,2,0,2,1,0,0,0,172,37,2,2.913624148339994e-05
300,1,0,1,15,1,0,2,0,0,0,0,202,60,12,3.6524857744740596e-05
304,2,0,1,10,1,0,3,0,0,1,0,168,41,3,2.913624148339994e-05
304,2,0,1,10,1,0,3,0,0,1,0,330,70,7,5.576314159502381e-05
298,2,0,1,9,1,0,3,1,0,1,0,221,41,6,3.6524857744740596e-05
298,1,0,1,19,0,0,2,0,0,1,0,148,33,3,2.5232821571748274e-05
296,1,0,1,18,0,0,2,0,0,1,0,202,45,11,3.44337399349272e-05
302,1,0,1,17,0,0,2,1,0,1,0,225,43,5,3.7361304868665954e-05
304,4,0,1,15,0,0,3,1,0,0,0,138,37,1,2.4396374447822915e-05
302,3,0,1,13,0,0,2,1,0,1,0,218,65,5,3.945242267847934e-05
223,3,0,1,10,6,0,2,1,1,1,0,213,50,4,3.666426559872816e-05
200,3,0,1,13,5,0,2,1,0,1,0,287,79,13,5.102327455944679e-05
289,4,0,1,8,5,0,2,1,0,1,0,295,97,12,5.464787876312333e-05
282,4,0,1,17,4,0,2,1,0,1,0,161,37,2,2.7602755089536786e-05
168,1,0,1,13,4,0,2,0,0,0,0,173,35,3,2.8996833629412382e-05
178,1,0,1,13,3,0,2,0,0,0,0,261,42,5,4.2240579758230534e-05
229,1,0,1,13,2,0,3,0,0,0,0,246,60,8,4.265880332019321e-05
295,2,0,1,7,1,1,2,0,0,1,0,47367,16280,643,0.0088728916827462
302,1,0,1,6,0,1,1,0,0,1,0,72305,31649,2780,0.014492004053422762
235,1,0,1,14,6,0,3,0,0,1,0,81,26,20,1.4916640376668868e-05
229,1,0,1,16,5,0,2,0,0,1,0,99,21,4,1.6728942478507143e-05
238,0,0,1,12,5,0,3,0,0,1,0,98,18,4,1.6171311062556906e-05
211,1,0,1,10,5,0,3,0,0,0,0,190,46,5,3.2900253541064046e-05
164,3,0,1,20,4,0,2,0,1,0,0,142,26,7,2.342051946991e-05
168,3,0,1,20,4,1,2,0,0,0,0,90,12,2,1.421960110673107e-05
184,4,0,1,19,4,1,2,0,1,0,0,241,18,6,3.6106634182777916e-05
116,2,0,1,19,4,0,2,0,0,0,0,167,19,1,2.592986084168607e-05
131,3,0,1,18,4,0,2,0,1,1,0,129,18,2,2.049295453617125e-05
300,1,0,1,17,4,0,2,0,0,0,0,56,19,1,1.0455589049066964e-05
304,3,0,1,16,4,1,3,1,0,1,0,715,168,17,0.00012309713507101505
299,1,0,1,15,4,0,1,1,0,0,0,187,57,2,3.401540256462195e-05
233,3,0,1,13,4,1,2,0,1,0,0,1054,101,11,0.00016101553263171453
168,3,0,1,12,4,0,2,0,0,0,0,77,16,1,1.2964887043073119e-05
143,2,0,1,11,4,1,2,0,0,0,0,184,27,4,2.9414958775144387e-05
157,1,0,1,10,4,1,1,0,1,0,0,1784,195,44,0.00027588721998109356
180,1,0,1,7,3,0,3,1,0,0,0,148,42,5,2.648740363638594e-05
303,2,0,1,12,2,0,2,0,0,1,0,159,56,3,2.997258832538409e-05
297,1,0,1,8,2,0,3,0,0,1,0,164,46,12,2.9275551387584463e-05
170,1,0,1,13,1,0,3,0,0,0,0,151,47,12,2.760266273686535e-05
189,1,0,1,18,0,0,3,0,0,0,0,135,21,6,2.1747552459348458e-05
196,1,0,1,16,0,0,3,0,0,0,0,156,47,3,2.8299699674664978e-05
232,1,0,1,11,0,0,3,0,0,0,0,142,36,4,2.481451498566683e-05
168,1,0,1,8,0,0,3,0,0,0,0,194,53,3,3.4433624727301724e-05
165,3,0,1,13,6,0,2,0,0,0,0,97,26,5,1.71471086698709e-05
224,4,0,1,17,5,0,2,0,0,0,0,98,30,6,1.784414560767053e-05
301,4,0,1,10,5,0,2,0,0,1,0,127,35,3,2.2583996784708014e-05
281,3,0,1,16,4,0,3,0,0,0,0,237,56,8,4.084636455505832e-05
219,3,0,1,9,4,0,3,0,0,0,0,280,82,3,5.0465474296693214e-05
236,1,0,1,17,3,0,3,1,0,0,0,170,44,6,2.9833180937824165e-05
182,2,0,1,15,3,0,3,1,0,1,0,140,31,0,2.3838663272747348e-05
165,2,0,1,14,3,0,2,0,0,0,0,240,62,4,4.2101031043097653e-05
221,3,0,1,13,3,0,3,0,0,0,0,154,33,1,2.6069181473706163e-05
231,2,0,1,10,3,0,3,0,0,0,0,117,21,3,1.923821948326979e-05
256,2,0,1,16,2,0,3,0,0,0,0,130,34,2,2.2862811559827864e-05
221,1,0,1,10,2,0,3,0,0,1,0,258,75,5,4.642266005745536e-05
218,1,0,1,9,2,0,3,0,1,1,0,189,38,1,3.1645476976103206e-05
230,2,0,1,17,1,0,3,1,0,0,0,122,29,3,2.1050515521548827e-05
196,1,0,1,13,1,0,3,1,0,0,0,166,35,3,2.802088489954513e-05
177,1,0,1,8,1,0,3,0,0,0,0,178,31,3,2.9136144000024534e-05
125,3,0,1,15,0,1,2,0,0,0,0,416,91,5,7.067954549288249e-05
143,3,0,1,14,0,1,2,0,0,0,0,504,90,8,8.280798821059604e-05
133,1,0,1,10,0,0,2,0,0,1,0,131,41,5,2.3978070660307273e-05
185,3,0,1,17,6,1,2,0,0,0,0,337,79,0,5.799347322492922e-05
141,3,0,1,13,6,1,2,0,0,0,0,378,72,4,6.27333244019667e-05
212,3,0,1,9,6,1,2,1,0,0,0,504,100,4,8.420206208619531e-05
196,4,0,1,13,5,0,3,1,0,0,0,275,45,5,4.461036401917632e-05
204,3,0,1,17,4,0,3,1,0,0,0,136,32,4,2.342044111006757e-05
150,3,0,1,15,4,2,1,0,0,1,0,77,13,1,1.2546664880393341e-05
119,2,0,1,12,4,1,2,0,0,1,0,217,51,4,3.7361179866060174e-05
154,2,0,1,11,4,1,1,0,0,0,0,68,12,1,1.115259100479408e-05
188,4,0,1,11,4,0,2,0,0,0,0,242,49,4,4.0567549779938466e-05
156,4,0,1,10,4,0,1,0,1,0,0,986,350,30,0.00018624826978006113
139,3,0,1,10,4,1,1,0,0,0,0,407,107,10,7.165539720580197e-05
161,3,0,1,9,4,0,2,0,0,0,0,438,103,4,7.541939666991996e-05
126,2,0,1,9,4,0,2,0,0,0,0,345,66,2,5.729643628712959e-05
296,3,0,1,8,4,0,3,1,1,1,0,133,21,0,2.1468737684228605e-05
303,1,0,1,7,3,0,1,0,0,1,0,105,48,5,2.132933029666868e-05
264,5,0,1,17,2,0,3,0,0,1,0,187,54,4,3.359718040194217e-05
304,5,0,1,16,2,0,2,0,0,1,0,191,49,3,3.345777301438224e-05
300,1,0,1,11,2,0,2,0,0,1,0,115,37,4,2.118992290910875e-05
302,1,0,1,7,2,1,1,0,1,1,0,156,53,8,2.9136144000024534e-05
300,1,1,1,10,1,0,2,1,0,0,0,194,67,3,3.6385328153140686e-05
304,1,0,1,8,1,0,3,1,0,0,0,221,52,6,3.80582168038598e-05
264,3,0,1,9,0,1,3,1,0,1,0,268,70,8,4.711969699525499e-05
294,1,0,1,17,6,0,2,0,0,0,0,186,34,3,3.0669625263183725e-05
302,1,0,1,10,6,1,2,0,0,0,0,273,85,4,4.990784474645351e-05
231,2,0,1,16,5,0,3,1,0,0,0,201,51,4,3.5130661665101355e-05
233,4,0,1,9,5,1,3,0,0,0,0,165,48,8,2.969377355026424e-05
291,3,0,1,19,4,1,3,0,0,0,0,246,72,12,4.433154924405647e-05
